void test0 ( ) throws Throwable { CharServer charServer0 = new CharServer ( ) ; "<AssertPlaceHolder>" ; } "<FocalMethod>" CharServer ( ) { }
void test1 ( ) throws Throwable { MapServerConnection mapServerConnection0 = new MapServerConnection ( ) ; "<AssertPlaceHolder>" ; } "<FocalMethod>" <UnknownFocalMethodText>
void test0 ( ) throws Throwable { TXTMapPersistence tXTMapPersistence0 = new TXTMapPersistence ( ) ; tXTMapPersistence0 . setFileDB ( "db / map_index . txt" ) ; "<AssertPlaceHolder>" ; } "<FocalMethod>" String getFileDB ( ) { return fileDB ; }
void test1 ( ) throws Throwable { TXTMapPersistence tXTMapPersistence0 = new TXTMapPersistence ( ) ; String string0 = tXTMapPersistence0 . getFileDB ( ) ; "<AssertPlaceHolder>" ; } "<FocalMethod>" String getFileDB ( ) { return fileDB ; }
void test0 ( ) throws Throwable { XMLMapPersistence xMLMapPersistence0 = new XMLMapPersistence ( ) ; xMLMapPersistence0 . setFileDB ( "db / map_index . xml" ) ; "<AssertPlaceHolder>" ; } "<FocalMethod>" String getFileDB ( ) { return fileDB ; }
void test1 ( ) throws Throwable { XMLMapPersistence xMLMapPersistence0 = new XMLMapPersistence ( ) ; String string0 = xMLMapPersistence0 . getFileDB ( ) ; "<AssertPlaceHolder>" ; } "<FocalMethod>" String getFileDB ( ) { return fileDB ; }
void test4 ( ) throws Throwable { FastMap < Integer , String > fastMap0 = new FastMap < Integer , String > ( ) ; Integer integer0 = new Integer ( 100 ) ; fastMap0 . put ( integer0 , "u | ua" ) ; FastMap < String , Integer > fastMap1 = MapIndex . makeIndex ( fastMap0 ) ; "<AssertPlaceHolder>" ; } "<FocalMethod>" FastMap < String , Integer > makeIndex ( FastMap < Integer , String > data ) { FastMap < String , Integer > index = new FastMap < String , Integer > ( data . size ( ) ) ; for ( Entry < Integer , String > e : data . entrySet ( ) ) { index . put ( e . getValue ( ) , e . getKey ( ) ) ; } return index ; }
void test0 ( ) throws Throwable { Subnet subnet0 = new Subnet ( "" , "" , "" ) ; subnet0 . setPersistenceMethod ( ( PersistenteData < FastTable < Subnet > > ) null ) ; "<AssertPlaceHolder>" ; } "<FocalMethod>" String getMapIP ( ) { return mapIP ; }
void test1 ( ) throws Throwable { byte [ ] byteArray0 = new byte [ 8 ] ; int int0 = Subnet . hashIP ( byteArray0 ) ; "<AssertPlaceHolder>" ; } "<FocalMethod>" int hashIP ( byte addr [ ] ) { int address = addr [ 3 ] & 0xFF ; address | = ( ( addr [ 2 ] < < 8 ) & 0xFF00 ) ; address | = ( ( addr [ 1 ] < < 16 ) & 0xFF0000 ) ; address | = ( ( addr [ 0 ] < < 24 ) & 0xFF000000 ) ; return address ; }
void test3 ( ) throws Throwable { Subnet subnet0 = new Subnet ( "" , "" , "" ) ; String string0 = subnet0 . getMapIP ( ) ; "<AssertPlaceHolder>" ; } "<FocalMethod>" String getMapIP ( ) { return mapIP ; }
void test4 ( ) throws Throwable { Subnet subnet0 = new Subnet ( "" , "" , "" ) ; subnet0 . setCharIP ( "KkJwS | Q~q ( & N < ] F0" ) ; "<AssertPlaceHolder>" ; } "<FocalMethod>" String toString ( ) { return this . subNet + " : " + this . charIP + " : " + this . mapIP ; }
void test5 ( ) throws Throwable { Subnet subnet0 = new Subnet ( "" , "" , "" ) ; String string0 = subnet0 . toString ( ) ; "<AssertPlaceHolder>" ; } "<FocalMethod>" String toString ( ) { return this . subNet + " : " + this . charIP + " : " + this . mapIP ; }
void test7 ( ) throws Throwable { Subnet subnet0 = new Subnet ( "" , "" , "" ) ; PersistenteData < FastTable < Subnet > > persistenteData0 = subnet0 . getPersistenceMethod ( ) ; "<AssertPlaceHolder>" ; } "<FocalMethod>" PersistenteData < FastTable < Subnet > > getPersistenceMethod ( ) { return persistenceMethod ; }
